"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",6.4715,0.939,0.0049,0.0013,0,394.3767
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",226.8589,0.937,0.0048,0.0013,0,0
"SGD-Boot",158.5514,0.944,0.005,0.0013,0,0
"SGD-RS",1.7212,0.939,0.0065,0.0013,0,0
"SGD-RS-SUBS",0.7737,0.939,0.0065,0.0013,0,0
