"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",1.7299,0.9,0.0155,0.0044,0.0009,59.7809
"CONV-PLUG",NA,NA,NA,NA,NA,0.2
"CONV-BOOT",36.7377,0.9,0.015,0.0042,0.001,0
"SGD-Boot",20.9403,0.9,0.0175,0.0041,-0.001,0
"SGD-RS",0.2815,1,0.0232,0.0039,0.0003,0
"SGD-RS-SUBS",0.0915,1,0.0232,0.0039,0.0003,0
