"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,373.0047
"CONV-PLUG",373.0047,0.9,0.0152,0.0042,0.001,0.1
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",NA,NA,NA,NA,NA,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",NA,NA,NA,NA,NA,0
