"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",8.4078,0.936,0.0153,0.0041,0,180.5756
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",125.3525,0.939,0.0151,0.004,0,0
"SGD-Boot",42.3834,0.94,0.056,0.0083,-0.0047,0
"SGD-RS",3.6668,0.955,0.024,0.0047,-0.0001,0
"SGD-RS-SUBS",0.7651,0.955,0.024,0.0047,-0.0001,0
