"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,16231.2529
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",16049.8637,0.954,0.0025,0.0005,-0.0002,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",181.3892,0.963,0.0021,0.0004,0,0
