"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",11.1442,0.958,0.0049,0.0012,0.0001,615.9832
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",363.0733,0.955,0.0048,0.0012,0.0001,0
"SGD-Boot",235.1194,0.969,0.0052,0.0012,0,0
"SGD-RS",4.8841,0.952,0.0065,0.0012,0.0001,0
"SGD-RS-SUBS",1.7622,0.952,0.0065,0.0012,0.0001,0
