"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",0.8721,0.957,0.0155,0.0039,0.0001,39.7292
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",22.3137,0.948,0.0151,0.0039,0.0001,0
"SGD-Boot",16.2871,0.966,0.0171,0.0042,-0.0003,0
"SGD-RS",0.1745,0.945,0.0204,0.004,0,0
"SGD-RS-SUBS",0.0818,0.945,0.0204,0.004,0,0
