"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",16.9598,1,0.0049,0.0009,0,708.5859
"CONV-PLUG",NA,NA,NA,NA,NA,0.5
"CONV-BOOT",473.3333,1,0.0048,0.0009,0.0001,0
"SGD-Boot",214.1262,1,0.005,0.0009,-0.0001,0
"SGD-RS",3.0637,1,0.0056,0.0011,0.0003,0
"SGD-RS-SUBS",1.1029,1.1029,0.0003,0.0011,0.0003,0
