"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",211.5439,0.955,0.0016,0.0004,0,12080.0957
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",8683.7844,0.952,0.0015,0.0004,0,0
"SGD-Boot",3034.6108,0.963,0.0016,0.0004,0,0
"SGD-RS",113.2667,0.954,0.002,0.0004,0,0
"SGD-RS-SUBS",36.8899,0.954,0.002,0.0004,0,0
