"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",46.2344,1,0.0049,0.0011,0.0001,1201.1921
"CONV-PLUG",NA,NA,NA,NA,NA,0.8
"CONV-BOOT",869.2387,1,0.0048,0.0012,0.0001,0
"SGD-Boot",275.9777,1,0.0053,0.0012,-0.0002,0
"SGD-RS",7.8211,1,0.0058,0.0014,0.0004,0
"SGD-RS-SUBS",1.9202,1.9202,0.0004,0.0014,0.0004,0
