"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",1830.7559,1,0.0015,0.0003,-0.0002,26656.7158
"CONV-PLUG",NA,NA,NA,NA,NA,26.1
"CONV-BOOT",14692.0814,1,0.0015,0.0003,-0.0002,0
"SGD-Boot",9178.8585,1,0.0018,0.0003,-0.0002,0
"SGD-RS",873.6683,1,0.0021,0.0004,-0.0003,0
"SGD-RS-SUBS",81.3517,81.3517,-0.0003,0.0004,-0.0003,0
