"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",221.4595,1,0.0015,0.0003,0,8943.5559
"CONV-PLUG",NA,NA,NA,NA,NA,6.9
"CONV-BOOT",5769.3866,1,0.0015,0.0003,0,0
"SGD-Boot",2854.6866,1,0.0016,0.0003,-0.0001,0
"SGD-RS",76.1681,1,0.0019,0.0003,0,0
"SGD-RS-SUBS",21.8551,21.8551,0,0.0003,0,0
