"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",154.7507,1,0.0049,0.0014,0.0008,2351.9326
"CONV-PLUG",NA,NA,NA,NA,NA,1.4
"CONV-BOOT",1739.3775,1,0.0047,0.0013,0.0008,0
"SGD-Boot",429.33,1,0.0061,0.0012,0.0001,0
"SGD-RS",24.4682,0.9,0.0087,0.0013,0.0007,0
"SGD-RS-SUBS",4.0062,4.0062,0.0007,0.0013,0.0007,0
