"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",1471.4604,0.95,0.0016,0.0004,0,40281.8091
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",27827.7982,0.952,0.0015,0.0004,0,0
"SGD-Boot",10819.8805,0.961,0.0022,0.0004,-0.0001,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",162.67,0.953,0.0021,0.0004,0,0
