"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",83.0106,0.926,0.0141,0.0039,0,723.8332
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",384.7745,0.956,0.015,0.0037,0,0
"SGD-Boot",183.8346,0.91,0.3674,0.0462,-0.0305,0
"SGD-RS",69.5849,0.986,0.0473,0.008,-0.0001,0
"SGD-RS-SUBS",2.6286,0.986,0.0473,0.008,-0.0001,0
