"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,19839.0815
"CONV-PLUG",NA,NA,NA,NA,NA,25.9
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",16322.7915,1,0.0025,0.0003,-0.0001,0
"SGD-RS",3349.888,0.9,0.002,0.0003,0.0002,0
"SGD-RS-SUBS",166.402,0.9,0.002,0.0003,0.0002,0
