"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",50.801,0.955,0.0049,0.0012,0.0001,1610.114
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",1041.6476,0.954,0.0048,0.0012,0.0001,0
"SGD-Boot",477.0016,0.976,0.0077,0.0014,-0.0004,0
"SGD-RS",34.5654,0.956,0.0067,0.0012,0,0
"SGD-RS-SUBS",6.0984,0.956,0.0067,0.0012,0,0
