"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",571.9148,1,0.0016,0.0002,0,13975.2818
"CONV-PLUG",NA,NA,NA,NA,NA,13.3
"CONV-BOOT",8439.9065,1,0.0015,0.0002,0,0
"SGD-Boot",4680.8444,1,0.0016,0.0002,0,0
"SGD-RS",239.4956,1,0.0021,0.0002,0.0001,0
"SGD-RS-SUBS",43.1205,43.1205,0.0001,0.0002,0.0001,0
