"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",445.0462,0.942,0.0016,0.0004,0,18896.3142
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",12827.277,0.937,0.0015,0.0004,0,0
"SGD-Boot",5214.9191,0.951,0.0017,0.0004,0,0
"SGD-RS",342.2557,0.952,0.002,0.0004,0,0
"SGD-RS-SUBS",66.8162,0.952,0.002,0.0004,0,0
