"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",70.0517,0.963,0.0016,0.0004,0,4850.4779
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",3107.3469,0.965,0.0015,0.0003,0,0
"SGD-Boot",1641.3032,0.959,0.0016,0.0004,0,0
"SGD-RS",20.5367,0.965,0.002,0.0004,0,0
"SGD-RS-SUBS",11.2394,0.965,0.002,0.0004,0,0
