"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",555.0617,1,0.0049,0.0014,0,5130.2341
"CONV-PLUG",NA,NA,NA,NA,NA,2.7
"CONV-BOOT",3542.0267,1,0.0048,0.0012,0,0
"SGD-Boot",936.2331,0.9,0.0097,0.0018,-0.0014,0
"SGD-RS",88.5439,1,0.0075,0.0011,-0.0003,0
"SGD-RS-SUBS",8.3687,8.3687,-0.0003,0.0011,-0.0003,0
