"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,443.8699
"CONV-PLUG",443.8699,0.955,0.0151,0.0037,-0.0001,NA
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",NA,NA,NA,NA,NA,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",NA,NA,NA,NA,NA,0
