"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",161.9325,1,0.0139,0.0034,-0.0008,922.8921
"CONV-PLUG",NA,NA,NA,NA,NA,0.6
"CONV-BOOT",575.4993,1,0.0149,0.0037,-0.0011,0
"SGD-Boot",146.5566,0.9,0.1799,0.0433,-0.0296,0
"SGD-RS",37.3468,0.9,0.0447,0.0082,-0.0026,0
"SGD-RS-SUBS",1.5569,0.9,0.0447,0.0082,-0.0026,0
