"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,3813.9729
"CONV-PLUG",3813.9729,1,0.015,0.0037,-0.0011,0.4
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",NA,NA,NA,NA,NA,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",NA,NA,NA,NA,NA,0
