"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",8.5208,0.9,0.0049,0.0017,0.0004,404.3547
"CONV-PLUG",NA,NA,NA,NA,NA,0.3
"CONV-BOOT",254.1547,0.8,0.0048,0.0016,0.0004,0
"SGD-Boot",139.8421,0.8,0.005,0.0015,0.0005,0
"SGD-RS",1.2557,0.8,0.0049,0.0014,0.0004,0
"SGD-RS-SUBS",0.5814,0.5814,0.0004,0.0014,0.0004,0
