"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",40.4362,1,0.0148,0.0044,0.0009,408.5909
"CONV-PLUG",NA,NA,NA,NA,NA,0.4
"CONV-BOOT",276.5253,1,0.0151,0.0041,0.0009,0
"SGD-Boot",82.1958,1,0.0706,0.0144,-0.0065,0
"SGD-RS",8.7223,1,0.0387,0.0063,0.003,0
"SGD-RS-SUBS",0.7113,1,0.0387,0.0063,0.003,0
