"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",100.1749,0.9,0.0016,0.0004,0.0002,6097.922
"CONV-PLUG",NA,NA,NA,NA,NA,3.7
"CONV-BOOT",3844.1334,0.9,0.0015,0.0004,0.0002,0
"SGD-Boot",2112.4588,0.9,0.0016,0.0004,0.0002,0
"SGD-RS",30.1043,1,0.0021,0.0004,0.0002,0
"SGD-RS-SUBS",11.0506,11.0506,0.0002,0.0004,0.0002,0
