"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",1.5368,0.947,0.0155,0.004,0.0002,65.445
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",39.7488,0.944,0.0151,0.0039,0.0002,0
"SGD-Boot",23.5777,0.971,0.0193,0.0043,-0.0007,0
"SGD-RS",0.4415,0.943,0.0208,0.0042,0.0003,0
"SGD-RS-SUBS",0.1402,0.943,0.0208,0.0042,0.0003,0
