"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",1373.9472,1,0.0048,0.0013,-0.0005,7476.5694
"CONV-PLUG",NA,NA,NA,NA,NA,5.3
"CONV-BOOT",4112.7556,1,0.0047,0.0014,-0.0005,0
"SGD-Boot",1642.9024,0.8,0.0194,0.0047,-0.0036,0
"SGD-RS",331.3092,0.9,0.0073,0.0018,-0.0003,0
"SGD-RS-SUBS",15.655,15.655,-0.0003,0.0018,-0.0003,0
