"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",186.398,0.951,0.0049,0.0012,0,3670.2099
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",2242.6438,0.957,0.0048,0.0012,0,0
"SGD-Boot",1108.58,0.947,0.0151,0.0023,-0.0012,0
"SGD-RS",119.9417,0.962,0.0072,0.0013,0,0
"SGD-RS-SUBS",12.6464,0.962,0.0072,0.0013,0,0
