"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",2.9712,0.947,0.0154,0.0039,-0.0001,102.5703
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",68.3431,0.95,0.0151,0.0038,-0.0001,0
"SGD-Boot",29.8422,0.955,0.0277,0.0051,-0.0019,0
"SGD-RS",1.1095,0.946,0.0215,0.0042,-0.0002,0
"SGD-RS-SUBS",0.3043,0.946,0.0215,0.0042,-0.0002,0
