"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",111.1778,0.951,0.0016,0.0004,0,7675.4848
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",5076.103,0.95,0.0015,0.0004,0,0
"SGD-Boot",2411.9338,0.953,0.0016,0.0004,0,0
"SGD-RS",53.1523,0.955,0.002,0.0004,0,0
"SGD-RS-SUBS",23.1179,0.955,0.002,0.0004,0,0
