"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",12.154,1,0.0153,0.0025,0.0004,176.5157
"CONV-PLUG",NA,NA,NA,NA,NA,0.3
"CONV-BOOT",123.197,1,0.0151,0.0025,0.0005,0
"SGD-Boot",38.4244,0.8,0.0336,0.0077,-0.0049,0
"SGD-RS",2.3329,1,0.0231,0.004,0.0004,0
"SGD-RS-SUBS",0.4074,1,0.0231,0.004,0.0004,0
