"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",20.6667,0.944,0.0049,0.0013,-0.0001,915.6626
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",581.9643,0.936,0.0048,0.0013,-0.0001,0
"SGD-Boot",298.3623,0.958,0.0056,0.0013,-0.0002,0
"SGD-RS",11.3664,0.953,0.0066,0.0013,0,0
"SGD-RS-SUBS",3.3029,0.953,0.0066,0.0013,0,0
