"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",0.9134,1,0.0155,0.0022,0.0008,32.385
"CONV-PLUG",NA,NA,NA,NA,NA,0.1
"CONV-BOOT",16.7152,1,0.0152,0.0021,0.0008,0
"SGD-Boot",14.5944,1,0.0167,0.0021,0.0005,0
"SGD-RS",0.1037,1,0.0186,0.0025,0.0009,0
"SGD-RS-SUBS",0.0583,1,0.0186,0.0025,0.0009,0
