"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,154.039
"CONV-PLUG",154.039,1,0.0152,0.0021,0.0008,0.1
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",NA,NA,NA,NA,NA,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",NA,NA,NA,NA,NA,0
