"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",24.3664,0.93,0.0149,0.0041,0.0001,406.4638
"CONV-PLUG",NA,NA,NA,NA,NA,NA
"CONV-BOOT",250.0198,0.943,0.0151,0.0039,0.0001,0
"SGD-Boot",115.1506,0.929,0.1387,0.0182,-0.0114,0
"SGD-RS",15.7009,0.954,0.0299,0.0056,0.0001,0
"SGD-RS-SUBS",1.2261,0.954,0.0299,0.0056,0.0001,0
