"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",3.6486,1,0.0154,0.0036,-0.0005,94.681
"CONV-PLUG",NA,NA,NA,NA,NA,0.2
"CONV-BOOT",63.0095,1,0.0154,0.0035,-0.0007,0
"SGD-Boot",27.1537,1,0.0207,0.0047,-0.0027,0
"SGD-RS",0.7155,1,0.024,0.0038,-0.0009,0
"SGD-RS-SUBS",0.1537,1,0.024,0.0038,-0.0009,0
