"","Runtime","Coverage","CI Length","RMSE","Bias","Sys"
"QR",NA,NA,NA,NA,NA,668.3438
"CONV-PLUG",668.3438,1,0.0154,0.0035,-0.0007,0.2
"CONV-BOOT",NA,NA,NA,NA,NA,0
"SGD-Boot",NA,NA,NA,NA,NA,0
"SGD-RS",NA,NA,NA,NA,NA,0
"SGD-RS-SUBS",NA,NA,NA,NA,NA,0
